customerID,Churn
0002-ORFBO,No
0003-MKNFE,No
0004-TLHLJ,Yes
0011-IGKFF,Yes
0013-EXCHZ,Yes
0013-MHZWF,No
0013-SMEOE,No
0014-BMAQU,No
0015-UOCOJ,No
0016-QLJIS,No
0017-DINOC,No
0017-IUDMW,No
0018-NYROU,No
0019-EFAEP,No
0019-GFNTW,No
0020-INWCK,No
0020-JDNXP,No
0021-IKXGC,No
0022-TCJCI,Yes
0023-HGHWL,Yes
0023-UYUPN,No
0023-XUOPT,Yes
0027-KWYKW,No
0030-FNXPP,No
0031-PVLZI,Yes
0032-PGELS,Yes
0036-IHMOT,No
0040-HALCW,No
0042-JVWOJ,No
0042-RLHYP,No
0048-LUMLS,No
0048-PIHNL,No
0052-DCKON,No
0052-YNYOT,No
0056-EPFBG,No
0057-QBUQH,No
0058-EVZWM,No
0060-FUALY,No
0064-SUDOG,No
0064-YIJGF,No
0067-DKWBL,Yes
0068-FIGTF,No
0071-NDAFP,No
0074-HDKDG,No
0076-LVEPS,No
0078-XZMHT,No
0080-EMYVY,No
0080-OROZO,No
0082-LDZUE,No
0082-OQIQY,No
0083-PIVIK,No
0089-IIQKO,No
0093-EXYQL,No
0093-XWZFY,Yes
0094-OIFMO,Yes
0096-BXERS,No
0096-FCPUF,No
0098-BOWSO,No
0100-DUVFC,No
0103-CSITQ,No
0104-PPXDV,No
0106-GHRQR,No
0106-UGRDO,No
0107-WESLM,Yes
0107-YHINA,Yes
0111-KLBQG,No
0112-QAWRZ,No
0112-QWPNC,Yes
0114-IGABW,No
0114-PEGZZ,No
0114-RSRRW,No
0115-TFERT,Yes
0117-LFRMW,Yes
0118-JPNOY,No
0121-SNYRK,No
0122-OAHPZ,Yes
0123-CRBRT,No
0125-LZQXK,Yes
0128-MKWSG,No
0129-KPTWJ,No
0129-QMPDR,No
0130-SXOUN,No
0133-BMFZO,Yes
0134-XWXCE,No
0135-NMXAP,Yes
0136-IFMYD,No
0137-OCGAB,Yes
0137-UDEUO,Yes
0139-IVFJG,No
0141-YEAYS,No
0142-GVYSN,No
0147-ESWWR,No
0148-DCDOS,Yes
0151-ONTOV,Yes
0156-FVPTA,Yes
0164-APGRB,No
0164-XAIRP,No
0168-XZKBB,No
0174-QRVVY,No
0177-PXBAT,No
0178-CIIKR,No
0178-SZBHO,No
0181-RITDD,No
0186-CAERR,No
0187-QSXOE,No
0187-WZNAB,No
0188-GWFLE,No
0191-EQUUH,No
0191-ZHSKZ,No
0193-ESZXP,Yes
0195-IESCP,Yes
0196-JTUQI,No
0196-VULGZ,Yes
0197-PNKNK,No
0201-MIBOL,No
0201-OAMXR,Yes
0203-HHYIJ,Yes
0206-OYVOC,No
0206-TBWLC,No
0207-MDKNV,Yes
0208-BPQEJ,No
0212-ISBBF,No
0214-JHPFW,No
0215-BQKGS,No
0218-QNVAS,No
0219-QAERP,No
0219-YTZUE,Yes
0220-EBGCE,Yes
0221-NAUXK,No
0221-WMXNQ,No
0222-CNVPT,No
0224-HJAPT,Yes
0224-NIJLP,No
0224-RLWWD,No
0225-ZORZP,No
0228-MAUWC,No
0229-LFJAF,No
0230-UBYPQ,No
0230-WEQUW,No
0231-LXVAP,Yes
0233-FTHAV,No
0234-TEVTT,No
0235-KGSLC,Yes
0236-HFWSV,Yes
0237-YFUTL,No
0238-WHBIQ,No
0239-OXEXL,No
0244-LGNFY,No
0247-SLUJI,No
0248-IPDFW,No
0248-PGHBZ,No
0253-ZTEOB,No
0254-FNMCI,No
0254-KCJGT,No
0254-WWRKD,No
0256-LTHVJ,Yes
0257-KXZGU,No
0257-ZESQC,Yes
0258-NOKBL,No
0259-GBZSH,Yes
0260-ZDLGK,Yes
0263-FJTQO,No
0264-CNITK,No
0265-EDXBD,Yes
0265-PSUAE,No
0266-CLZKZ,No
0266-GMEAO,No
0268-QKIWO,Yes
0269-XFESX,No
0270-THENM,No
0274-JKUJR,No
0277-BKSQP,No
0277-ORXQS,No
0278-YXOOG,Yes
0280-XJGEX,Yes
0281-CNTZX,No
0282-NVSJS,No
0285-INHLN,No
0289-IVARM,No
0292-WEGCH,No
0295-PPHDO,Yes
0295-QVKPB,No
0297-RBCSG,No
0298-XACET,No
0301-FIDRB,No
0301-KOBTQ,No
0302-JOIVN,Yes
0303-UNCIP,No
0303-WMMRN,No
0305-SQECB,No
0306-JAELE,Yes
0307-BCOPK,No
0308-GIQJT,No
0308-IVGOK,No
0310-MVLET,Yes
0310-SUCIN,No
0310-VQXAM,No
0311-QYWSS,No
0311-UNPFF,Yes
0314-TKOSI,No
0315-LVCRK,No
0318-QUUOB,Yes
0318-ZOPWS,No
0319-QZTCO,No
0320-DWVTU,No
0320-JDNQG,Yes
0322-CHQRU,Yes
0322-YINQP,Yes
0323-XWWTN,No
0324-BRPCJ,Yes
0325-XBFAC,Yes
0326-VDYXE,No
0327-WFZSY,No
0328-GRPMV,Yes
0329-GTIAJ,Yes
0330-BGYZE,No
0330-IVZHA,Yes
0334-GDDSO,Yes
0334-ZFJSR,No
0336-KXKFK,No
0336-PIKEI,No
0337-CNPZE,Yes
0343-QLUZP,No
0345-HKJVM,Yes
0345-XMMUG,No
0347-UBKUZ,No
0348-SDKOL,Yes
0354-VXMJC,No
0354-WYROK,Yes
0356-ERHVT,No
0356-OBMAC,No
0357-NVCRI,No
0361-HJRDX,No
0362-RAOQO,No
0362-ZBZWJ,Yes
0363-QJVFX,Yes
0363-SVHYR,No
0365-BZUWY,No
0365-GXEZS,No
0365-TRTPY,No
0366-NQSHS,No
0369-ZGOVK,No
0373-AIVNJ,No
0374-AACSZ,No
0374-FIUCA,No
0374-IOEGQ,No
0375-HVGXO,Yes
0376-OIWME,No
0376-YMCJC,Yes
0377-JBKKT,No
0378-CJKPV,No
0378-NHQXU,Yes
0378-TOVMS,Yes
0378-XSZPU,Yes
0379-DJQHR,No
0380-NEAVX,No
0380-ZCSBI,No
0383-CLDDA,No
0384-LPITE,No
0384-RVBPI,No
0386-CWRGM,No
0388-EOPEX,Yes
0390-DCFDQ,Yes
0392-BZIUW,No
0394-YONDK,No
0396-HUJBP,No
0396-UKGAI,No
0396-YCHWO,No
0397-GZBBC,Yes
0397-ZXWQF,No
0401-WDBXM,No
0402-CQAJN,Yes
